0		0.5 		12.3		1          
0.0243443	0.592063        12.136          0.976578 
0.0245345	0.59008         12.1331         0.97644 
0.0247247	0.588057        12.1302         0.976303 
0.0249149	0.585995        12.1272         0.976167 
0.0251051	0.583895        12.1242         0.976031 
0.0252953	0.581755        12.1212         0.975896 
0.0254855	0.579578        12.1182         0.975761 
0.0256757	0.577362        12.1151         0.975627 
0.0258659	0.575109        12.112          0.975493 
0.0260561	0.572819        12.1088         0.97536 
0.0262462	0.570491        12.1057         0.975227 
0.0264364	0.568128        12.1025         0.975095 
0.0266266	0.565728        12.0993         0.974962 
0.0268168	0.563292        12.0962         0.97483 
0.027007	0.560822        12.093          0.974699 
0.0271972	0.558316        12.0897         0.974567 
0.0273874	0.555777        12.0865         0.974436 
0.0275776	0.553203        12.0833         0.974305 
0.0277678	0.550596        12.0801         0.974173 
0.027958	0.547957        12.0769         0.974042 
0.0281481	0.545285        12.0737         0.973911 
0.0283383	0.542581        12.0705         0.97378 
0.0285285	0.539846        12.0673         0.973648 
0.0287187	0.53708         12.0641         0.973517 
0.0289089	0.534285        12.0609         0.973385 
0.0290991	0.53146         12.0577         0.973253 
0.0292893	0.528606        12.0546         0.97312 
0.0294795	0.525724        12.0515         0.972987 
0.0296697	0.522815        12.0484         0.972854 
0.0298599	0.519878        12.0453         0.972721 
0.0300501	0.516915        12.0422         0.972587 
0.0302402	0.513927        12.0391         0.972452 
0.0304304	0.510914        12.0361         0.972317 
0.0306206	0.507877        12.0331         0.972182 
0.0308108	0.504816        12.0302         0.972046 
0.031001	0.501732        12.0272         0.971909 
0.0311912	0.498626        12.0243         0.971771 
0.0313814	0.495499        12.0214         0.971633 
0.0315716	0.492352        12.0186         0.971494 
0.0317618	0.489184        12.0158         0.971354 
0.031952	0.485998        12.013          0.971214 
0.0321421	0.482793        12.0102         0.971072 
0.0323323	0.479571        12.0075         0.97093 
0.0325225	0.476332        12.0049         0.970787 
0.0327127	0.473077        12.0022         0.970643 
0.0329029	0.469807        11.9996         0.970498 
0.0330931	0.466523        11.9971         0.970351 
0.0332833	0.463225        11.9945         0.970204 
0.0334735	0.459914        11.9921         0.970056 
0.0336637	0.456591        11.9896         0.969907 
0.0338539	0.453257        11.9872         0.969756 
0.034044	0.449913        11.9849         0.969605 
0.0342342	0.44656         11.9826         0.969452 
0.0344244	0.443197        11.9803         0.969298 
0.0346146	0.439827        11.9781         0.969143 
0.0348048	0.43645         11.9759         0.968986 
0.034995	0.433066        11.9737         0.968829 
0.0351852	0.429678        11.9716         0.96867 
0.0353754	0.426284        11.9696         0.968509 
0.0355656	0.422886        11.9676         0.968348 
0.0357558	0.419486        11.9656         0.968185 
0.0359459	0.416083        11.9637         0.96802 
0.0361361	0.412679        11.9618         0.967855 
0.0363263	0.409274        11.96           0.967688 
0.0365165	0.40587         11.9582         0.967519 
0.0367067	0.402466        11.9564         0.967349 
0.0368969	0.399064        11.9547         0.967177 
0.0370871	0.395665        11.953          0.967004 
0.0372773	0.392269        11.9514         0.96683 
0.0374675	0.388876        11.9498         0.966654 
